Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Vrednost,Način določitve vrednosti,Razlog za izročitev,Lastnik darila,Datum_EN,Naziv_EN,Prejemnik_EN,Darovalec_EN,Tip darila_EN,Način izročitve_EN
2020-11-24,DVOJEZIČNA OSNOVNA ŠOLA I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,Tretja oseba,"VLADA REPUBLIKE MADŽARSKE, MINISTRSTVO ZA KULTURO, BUDIMPEŠTA, MADŽARSKA (EMBER ERŐFORRÁSOK MINISZTÉERIUMA)",priložnostno,posredno,62000,PRIMERJAVA VREDNOSTI NA SPLETNI STRANI,BOŽIČNO - NOVOLETNI PRAZNIKI,Subjekta javnega sektorja (delodajalca),2020-11-24,BILINGUAL PRIMARY SCHOOL I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS SCHOOL,Third person,"GOVERNMENT OF THE REPUBLIC OF HUNGARY, MINISTRY OF CULTURE, BUDAPEST, HUNGARY (EMBER ERŐFORRÁSOK MINISZTÉERIUMA)",casually,Indirectly
2022-05-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Družinski član uradne osebe,emir države Katar Tamim Bin Hamad Al Thani,protokolarno,posredno,35000,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk predsednika državnega zbora na poljskem,"organizacija, v kateri funkcionar opravlja funkcijo",2022-05-16,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,Family member of an official,Emir of the State of Qatar Tamim Bin Hamad Al Thani,protocol,Indirectly
2020-11-24,DVOJEZIČNA OSNOVNA ŠOLA I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,Tretja oseba,"VLADA R MADŽARSKE, MINISTRSTVO ZA KULTURO (EMBERI ERŐFORRASOK MINISZTÉRIUMA) BUDIMPEŠTA, MADŽARSKA",priložnostno,posredno,25940,OSEBNA NESTROKOVNA OCENA,PODELITEV ODLIKOVANJA TOMAŽU LAVRIČU,država,2020-11-24,BILINGUAL PRIMARY SCHOOL I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS SCHOOL,Third person,"GOVERNMENT OF R HUNGARY, MINISTRY OF CULTURE (EMBERI ERŐFORRASOK MINISZTÉRIUM) BUDAPEST, HUNGARY",casually,Indirectly
2022-12-02,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"MAURIZIO FUGATTI, PREDSEDNIK AVTONOMNE POKRAJINE TRENTO",priložnostno,posredno,25000,OSEBNA NESTROKOVNA OCENA,OBISK NA ŠOLI,"organizacija, v kateri funkcionar opravlja funkcijo",2022-12-02,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,Official person,"MAURIZIO FUGATTI, PRESIDENT OF THE AUTONOMOUS PROVINCE OF TRENTO",casually,Indirectly
2015-12-15,MESTNA OBČINA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,gorenjska gradbena družba d.d.,priložnostno,neposredno,15860,NESTROKOVNA OCENA,UO PREDSEDNICE MALTE V RS,država,2015-12-15,MUNICIPALITY OF KRANJ,state body/local community/holder of public authority,gorenjska gradbena družba d.d.,casually,directly
2022-02-09,Ministrstvo za zunanje in evropske zadeve,Uradna oseba,"JAN WALCZAK, ČASTNI KONZUL REPUBLIKE SLOVENIJE V REPUBLIKI POLJSKI",protokolarno,neposredno,15000,-,URADNI OBISK PREDSEDNICE MALTE V SLOVENIJI,"organizacija, v kateri funkcionar opravlja funkcijo",2022-02-09,Ministry of Foreign and European Affairs,Official person,"JAN WALCZAK, HONORARY CONSUL OF THE REPUBLIC OF SLOVENIA IN THE REPUBLIC OF POLAND",protocol,directly
2014-03-13,OBČINA RADEČE,državni organ/lokalna skupnost/nosilec javnih pooblastil,dr. emil rojc,priložnostno,neposredno,13700,osebna nestrokovna ocena,OBISK,funkcionar,2014-03-13,MUNICIPALITY OF RADEČE,state body/local community/holder of public authority,dr. Emil Rojc,casually,directly
2022-05-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Bin Khalifa Al Thani,protokolarno,posredno,9000,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V ALŽIRIJI,Subjekta javnega sektorja (delodajalca),2022-05-17,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,Official person,Emir of the State of Qatar Tamim Bin Hamad Bin Khalifa Al Thani,protocol,Indirectly
2022-05-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Bin Khalifa Al Thani,protokolarno,posredno,9000,nestrokovna ocena,uradni obisk v RS,Subjekta javnega sektorja (delodajalca),2022-05-17,OFFICE OF THE PRESIDENT OF THE REPUBLIC OF SLOVENIA,Official person,Emir of the State of Qatar Tamim Bin Hamad Bin Khalifa Al Thani,protocol,Indirectly
2015-12-02,MESTNA OBČINA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,gorenjska gradbena družba d.d.,priložnostno,neposredno,8900,OSEBNA NESTROKOVNA OCENA,Bilateralno srečanje ob robu srečanja ministrov Ameriško-jadranske listine v Zagrebu,Subjekta javnega sektorja (delodajalca),2015-12-02,MUNICIPALITY OF KRANJ,state body/local community/holder of public authority,gorenjska gradbena družba d.d.,casually,directly
