Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Vrednost,Način določitve vrednosti,Razlog za izročitev,gift_owner,date_str,recipient_org,recipient,donor,gift_type,delivery_type,Description,value_determination_method,occasion,Date,donor_geo,Countries_donors,Year,Month,Year_Month,Countries_donors_2
2020-11-24,DVOJEZIČNA OSNOVNA ŠOLA I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,Tretja oseba,"VLADA REPUBLIKE MADŽARSKE, MINISTRSTVO ZA KULTURO, BUDIMPEŠTA, MADŽARSKA (EMBER ERŐFORRÁSOK MINISZTÉERIUMA)",priložnostno,posredno,62000,PRIMERJAVA VREDNOSTI NA SPLETNI STRANI,BOŽIČNO - NOVOLETNI PRAZNIKI,public sector entity (employer),2020-11-24,bilingual primary school lendava i. sz. lendvai ketnyelvu altalanos school,third person,"government republic hungary, ministry culture, budapest, hungary (ember erőforrások minisztéeriuma)",occasional,indirectly,books,website value comparison,christmas - new year holidays,2020-11-24,"['hungary', 'budapest', 'hungary']","['hungary', 'budapest', 'hungary']",2020,11,2020-11,"['hungary', 'budapest', 'hungary']"
2022-05-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Družinski član uradne osebe,emir države Katar Tamim Bin Hamad Al Thani,protokolarno,posredno,35000,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk predsednika državnega zbora na poljskem,organization official holds position,2022-05-16,office president republic slovenia,family member official,emir state qatar tamim bin hamad al thani,protocol,indirectly,"gold necklace, earrings, ring bracelet",value cannot determined non-expert assessment,official visit president national assembly poland,2022-05-16,['qatar'],['qatar'],2022,5,2022-05,['qatar']
2020-11-24,DVOJEZIČNA OSNOVNA ŠOLA I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,Tretja oseba,"VLADA R MADŽARSKE, MINISTRSTVO ZA KULTURO (EMBERI ERŐFORRASOK MINISZTÉRIUMA) BUDIMPEŠTA, MADŽARSKA",priložnostno,posredno,25940,OSEBNA NESTROKOVNA OCENA,PODELITEV ODLIKOVANJA TOMAŽU LAVRIČU,country,2020-11-24,bilingual primary school lendava i. sz. lendvai ketnyelvu altalanos school,third person,"government r hungary, ministry culture (emberi erőforrasok minisztérium) budapest, hungary",occasional,indirectly,books - professional books,personal non-professional assessment,award tomaž lavrič,2020-11-24,"['hungary', 'budapest', 'hungary']","['hungary', 'budapest', 'hungary']",2020,11,2020-11,"['hungary', 'budapest', 'hungary']"
2022-12-02,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"MAURIZIO FUGATTI, PREDSEDNIK AVTONOMNE POKRAJINE TRENTO",priložnostno,posredno,25000,OSEBNA NESTROKOVNA OCENA,OBISK NA ŠOLI,organization official holds position,2022-12-02,office president republic slovenia,official person,"maurizio fugatti, president autonomous province trento",occasional,indirectly,"cash prize eur 25,000",personal non-professional assessment,visit school,2022-12-02,[],[],2022,12,2022-12,[]
2015-12-15,MESTNA OBČINA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,gorenjska gradbena družba d.d.,priložnostno,neposredno,15860,NESTROKOVNA OCENA,UO PREDSEDNICE MALTE V RS,country,2015-12-15,municipality kranj,state body/local community/holder public authority,gorenjska gradbena družba d.d.,occasional,directly,"model kranj central sewage treatment plant size 95,000 pe",non-professional assessment,board presidency malta rs,2015-12-15,[],[],2015,12,2015-12,[]
2022-02-09,Ministrstvo za zunanje in evropske zadeve,Uradna oseba,"JAN WALCZAK, ČASTNI KONZUL REPUBLIKE SLOVENIJE V REPUBLIKI POLJSKI",protokolarno,neposredno,15000,-,URADNI OBISK PREDSEDNICE MALTE V SLOVENIJI,organization official holds position,2022-02-09,ministry foreign european affairs,official person,"jan walczak, honorary consul republic slovenia republic poland",protocol,directly,facsimile copy gutemberg's bible,,official visit president malta slovenia,2022-02-09,"['republic slovenia republic', 'poland']","['republic slovenia republic', 'poland']",2022,2,2022-02,"['republic slovenia republic', 'poland']"
2014-03-13,OBČINA RADEČE,državni organ/lokalna skupnost/nosilec javnih pooblastil,dr. emil rojc,priložnostno,neposredno,13700,osebna nestrokovna ocena,OBISK,official,2014-03-13,municipality radeče,state body/local community/holder public authority,dr. emil rojc,occasional,directly,artistic pictures-graphics,personal non-professional assessment,visit,2014-03-13,[],[],2014,3,2014-03,[]
2022-05-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Bin Khalifa Al Thani,protokolarno,posredno,9000,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V ALŽIRIJI,public sector entity (employer),2022-05-17,office president republic slovenia,official person,emir state qatar tamim bin hamad bin khalifa al thani,protocol,indirectly,cartier wristwatch,personal non-professional assessment,official visit algeria,2022-05-17,['qatar'],['qatar'],2022,5,2022-05,['qatar']
2022-05-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Bin Khalifa Al Thani,protokolarno,posredno,9000,nestrokovna ocena,uradni obisk v RS,public sector entity (employer),2022-05-17,office president republic slovenia,official person,emir state qatar tamim bin hamad bin khalifa al thani,protocol,indirectly,cartier wristwatch,non-professional assessment,official visit rs,2022-05-17,['qatar'],['qatar'],2022,5,2022-05,['qatar']
2015-12-02,MESTNA OBČINA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,gorenjska gradbena družba d.d.,priložnostno,neposredno,8900,OSEBNA NESTROKOVNA OCENA,Bilateralno srečanje ob robu srečanja ministrov Ameriško-jadranske listine v Zagrebu,public sector entity (employer),2015-12-02,municipality kranj,state body/local community/holder public authority,gorenjska gradbena družba d.d.,occasional,directly,drinker,personal non-professional assessment,bilateral meeting sidelines meeting ministers american-adriatic charter zagreb,2015-12-02,[],[],2015,12,2015-12,[]
