Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Opis,Vrednost,Način določitve vrednosti,Razlog za izročitev,Lastnik darila
2020-11-24,DVOJEZIČNA OSNOVNA ŠOLA I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,Tretja oseba,"VLADA REPUBLIKE MADŽARSKE, MINISTRSTVO ZA KULTURO, BUDIMPEŠTA, MADŽARSKA (EMBER ERŐFORRÁSOK MINISZTÉERIUMA)",priložnostno,posredno,KNJIGE,62000,PRIMERJAVA VREDNOSTI NA SPLETNI STRANI,BOŽIČNO - NOVOLETNI PRAZNIKI,Subjekta javnega sektorja (delodajalca)
2022-05-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Družinski član uradne osebe,emir države Katar Tamim Bin Hamad Al Thani,protokolarno,posredno,"zlata ogrlica, uhani, prstan in zapestnica",35000,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk predsednika državnega zbora na poljskem,"organizacija, v kateri funkcionar opravlja funkcijo"
2020-11-24,DVOJEZIČNA OSNOVNA ŠOLA I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,Tretja oseba,"VLADA R MADŽARSKE, MINISTRSTVO ZA KULTURO (EMBERI ERŐFORRASOK MINISZTÉRIUMA) BUDIMPEŠTA, MADŽARSKA",priložnostno,posredno,KNJIGE -STROKOVNE KNJIGE,25940,OSEBNA NESTROKOVNA OCENA,PODELITEV ODLIKOVANJA TOMAŽU LAVRIČU,država
2022-12-02,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"MAURIZIO FUGATTI, PREDSEDNIK AVTONOMNE POKRAJINE TRENTO",priložnostno,posredno,DENARNA NAGRADA 25.000 EUR,25000,OSEBNA NESTROKOVNA OCENA,OBISK NA ŠOLI,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-12-15,MESTNA OBČINA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,gorenjska gradbena družba d.d.,priložnostno,neposredno,maketa centralne čistilne naprave kranj v velikosti 95.000 pe,15860,NESTROKOVNA OCENA,UO PREDSEDNICE MALTE V RS,država
2022-02-09,Ministrstvo za zunanje in evropske zadeve,Uradna oseba,"JAN WALCZAK, ČASTNI KONZUL REPUBLIKE SLOVENIJE V REPUBLIKI POLJSKI",protokolarno,neposredno,IZVOD FAKSIMILA GUTEMBERGOVE BIBLIJE,15000,-,URADNI OBISK PREDSEDNICE MALTE V SLOVENIJI,"organizacija, v kateri funkcionar opravlja funkcijo"
2014-03-13,OBČINA RADEČE,državni organ/lokalna skupnost/nosilec javnih pooblastil,dr. emil rojc,priložnostno,neposredno,umetniške slike-grafike,13700,osebna nestrokovna ocena,OBISK,funkcionar
2022-05-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Bin Khalifa Al Thani,protokolarno,posredno,ročna ura Cartier,9000,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V ALŽIRIJI,Subjekta javnega sektorja (delodajalca)
2022-05-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Bin Khalifa Al Thani,protokolarno,posredno,ročna ura Cartier,9000,nestrokovna ocena,uradni obisk v RS,Subjekta javnega sektorja (delodajalca)
2015-12-02,MESTNA OBČINA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,gorenjska gradbena družba d.d.,priložnostno,neposredno,pitnik,8900,OSEBNA NESTROKOVNA OCENA,Bilateralno srečanje ob robu srečanja ministrov Ameriško-jadranske listine v Zagrebu,Subjekta javnega sektorja (delodajalca)
2022-05-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,Emir države Katar Tamim Bin Hamad Al Thani,protokolarno,posredno,koza pri hiši pastirca na hribčku iz zlata,8000,nestrokovna ocena,sprejem veleposlanice indije pri državnem sekretarju dr. igorju senčarju,Subjekta javnega sektorja (delodajalca)
2022-05-18,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"ŠEJK TAMIM BIN HAMAD AL TANI, EMIR DRŽAVE KATAR",protokolarno,posredno,"ROČNA URA ROLEX, OYSTER",5000,spletna stran,otvoritev novega letališča v turčiji,"organizacija, v kateri funkcionar opravlja funkcijo"
2022-05-22,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"ŠEJK TAMIM BIN HAMAD AL TANI, EMIR DRŽAVE KATAR",protokolarno,posredno,"ROČNA URA ROLEX, OYSTER",5000,OSEBNA NESTROKOVNA OCENA,OB DELOVNEM SESTANKU,"organizacija, v kateri funkcionar opravlja funkcijo"
2022-05-23,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"ŠEJK TAMIM BIN HAMAD AL TANI, EMIR DRŽAVE KATAR",protokolarno,posredno,"ROČNA URA ROLEX, OYSTER",5000,menjalniški tečaj nlb.,zasedanje ECOFIN/nastop mandata ministra.,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-09-18,OBČINA NAZARJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,GORAN HORVAT,protokolarno,neposredno,sLIKA - lAMPEDUSA ALI ČRNO SONCE,4000,osebna nestrokovna ocena,obisk ob 70-letnici Nove Gorice,lokalna skupnost
2015-02-21,OBČINA KOČEVJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,KLAVDIJ SLUBAN,priložnostno,neposredno,ČRNOBELA FOTOGRAFIJA TISKANA NA PLATNO IN OLJENA,3000,cena navedena na vstopnici,novoletno darilo zveze prijateljev mladine slovenije,funkcionar
2017-06-25,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,25. KEKLJARIC IZ 25. SLOVENSKIH KRAJEV (TATJANA ZUPAN),protokolarno,neposredno,KLEKLJANA SLOVENSKA ZASTAVA ZA 25 LET SLOVENSKE SAMOSTOJNOSTI,3000,cena navedena na vstopnici,novoletno darilo zveze prijateljev mladine slovenije,funkcionar
2020-12-14,DVOJEZIČNA OSNOVNA ŠOLA GENTEROVCI Gonterhazi Ketnyelvu Altalanos Iskola,Tretja oseba,madžarska vlada-emberi erőforrások minisztériuma,priložnostno,neposredno,več knjig,2935,osebna nestrokovna ocena,protokolarni obisk,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-11-17,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"gospod Ye Hao, veleposlanik ljudske republike kitajske v rs",priložnostno,neposredno,2x mobilni telefon huawei mate20 pro in 2x pametna ura huawei watch gt,2500,osebna nestrokovna ocena,ob novem letu,funkcionar
2022-01-05,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,DR. KOZMA AHAČIČ,protokolarno,neposredno,"knjiga na lesenem podstavku z naslovom: stati inu obstati. omejena, ročno vezana in oštevilčena izdaja. unikatna knjižna mojstrovina.",2050,osebna nestrokovna ocena,ob novem letu,funkcionar
2018-06-10,OBČINA OPLOTNICA,državni organ/lokalna skupnost/nosilec javnih pooblastil,JANŽIČ MAJDA,protokolarno,neposredno,2 KOSA LESENI SKULPTURI,2000,nestrokovna ocena,sestanek na mzz glede dosedanje ter možnosti prihodnjega sodelovanja rs v projektu rehabilitacije otrok iz gaze,država
2021-09-06,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"DR. NEDŽAD GRABUS, MUFTI V ODHAJANJU IZ REPUBLIKE SLOVENIJE",protokolarno,neposredno,"UMETNIŠKO DELO MERSADA BERBERJA - SLIKA - KOMBINIRANA TEHNIKA OLJE NA PLATNU, GRAFIKA",2000,NESTROKOVNO,V OKVIRU REGIJSKEGA OBISKA VLADE NA KOROŠKEM,"organizacija, v kateri funkcionar opravlja funkcijo"
2022-05-25,GENERALNI SEKRETARIAT VLADE REPUBLIKE SLOVENIJE,Uradna oseba,KATARSKI ŠEJK,protokolarno,posredno,MOŠKA URA EBEL,2000,osebna nestrokovna ocena,ob novem letu,funkcionar
2019-03-19,OKROŽNO SODIŠČE V KRŠKEM,državni organ/lokalna skupnost/nosilec javnih pooblastil,JOŽICA PAVLIN,priložnostno,neposredno,15 SLIK,1900,osebna nestrokovna ocena,uradni obisk v republiki kosovo,država
2020-11-20,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",Uradna oseba,čzs,priložnostno,neposredno,čeblnjak,1700,osebna nestrokovna ocena,sprejem,država
2022-12-16,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"IVO VELIŠEK, BIVŠI DIREKTOR UPRAVE PRAŠKEGA GRADU (URAD PREDSEDNIKA ČEŠKE REPUBLIKE)",protokolarno,neposredno,VAZA MOSER,1589,osebna nestrokovna ocena,uradni obisk v republiki kosovo,država
2021-06-08,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,ŠVICARSKI PREDSEDNIK GUY PARMELIN,protokolarno,neposredno,REUGE ROČNO IZDELANA POJOČA SKRINJICA,1500,osebna nestrokovna ocena,obisk natovih sil v prištini,država
2015-11-26,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,veleposlanik lr kitajske v rs g. ye Hao,priložnostno,posredno,"blago, ogrlica in ipad air",1300,preverjena cena na trgu,uradni obisk v republiki kosovo,država
